	data	cluster
0	попугай	2
1	волнистый попугай	0
2	купить попугая	1
3	попугай корелла	0
4	попугай кеша	0
5	попугать	2
6	попугай попугал	2
7	попугай фото	0
8	попугаи видео	0
9	сколько попугаев	0
10	говорящий попугай	0
11	говорящий попугай говорит	0
12	попугай говорит	0
13	попугаи неразлучники	2
14	 попугаев	2
15	про попугаев	2
16	попугая ару	1
17	попугай ара	2
18	попугай жако	0
19	попугай цена	0
20	попугай мультфильм	0
21	домашние попугаи	0
22	клетка для попугая	1
23	можно ли попугаю	0
24	почему попугай	2
25	попугаи в домашних условиях	0
26	зеленый попугай	2
27	сколько живут попугаи	0
28	попугай разговаривает	2
29	попугаи данные	2
30	попугай слушать	0
31	давай попугаем	2
32	пение попугаев	2
33	попугай мультик	0
34	ожереловый попугай	2
35	кормы попугаев	2
36	клюв попугая	1
37	виды попугаев	2
38	попугай какаду	2
39	попугай мальчик	2
40	серия попугай	0
41	картинки попугаев	2
42	волнистые попугаи сколько	0
43	авито попугаи	2
44	попугай москва	0
45	домашний волнистый попугай	0
46	скачать попугая	1
47	большие попугаи	2
48	попугай девочка	2
49	рыба попугай	2
50	самка попугая	1
51	попугай бесплатно	0
52	волнистые попугаи в домашних условиях	0
53	содержание попугаев	0
54	попугай кеша мультфильм	0
55	попугай онлайн	0
56	попугай поет	2
57	где попугай	2
58	блудный попугай	2
59	белый попугай	2
60	корм для попугаев	2
61	хороший попугай	2
62	пение волнистых попугаев	0
63	яйца попугаев	2
64	волнистый попугай купить	0
65	волнистые попугаи живут	0
66	породы попугаев	2
67	возвращение попугая	1
68	 попугаев мультфильм	0
69	сколько стоит попугай	0
70	возвращение блудного попугая	1
71	ИМЯ	0
72	ИМЯ	0
73	попугай кеша все серии	0
74	попугай отзывы	2
75	сколько живут волнистые попугаи	0
76	попугай своими руками	2
77	ИМЯ	0
78	волнистый попугай слушать	0
79	попугаи самцы	2
80	розелла попугай	2
81	какие волнистые попугаи	0
82	звуки попугаев	2
83	попугай сканворд	2
84	попугаи перу	2
85	перо попугая	1
86	попугай все серии подряд	0
87	купить клетку для попугая	1
88	попугай поле	2
89	попугай самый	2
90	можно ли волнистым попугаям	0
91	пол попугая	1
92	амазон попугай	2
93	попугай 	2
94	ИМЯ	0
95	смешные попугаи	2
96	имена для попугаев	2
97	ИМЯ	0
98	про попугая кешу	1
99	попугаи дома	2
100	купить попугая в москве	1
101	квартал попугай	2
102	попугай 	2
103	птенцы попугаев	2
104	волнистый попугай фото	0
105	попугай без	2
106	попугай кеша подряд	0
107	кеша попугай все серии подряд	0
108	какого попугая можно	1
109	красный попугай	2
110	ИМЯ	0
111	игра попугай	2
112	мультик попугай кеша	0
113	день попугая	1
114	попугаи уход и содержание	0
115	мебель попугай	2
116	 попугаев 	2
117	 попугаев мультфильм 	0
118	крыло попугая	1
119	попугай 	2
120	говорящий попугай видео	0
121	попугай говорит видео	0
122	 попугай	2
123	самка волнистого попугая	1
124	 попугай	2
125	голова попугая	1
126	попугай новой	2
127	 квартал попугай	2
128	попугай майнкрафт	2
129	 попугая	1
130	ИМЯ	0
131	рыбка попугай	2
132	попугай рисунок	2
133	 попугаев мебель	2
134	попугаю 	2
135	мультик про попугая	1
136	завести попугая	1
137	волнистые попугаи видео	0
138	сколько живут домашние попугаи	0
139	попугаи неразлучники фото	0
140	волнистый попугай мальчик	0
141	ИМЯ	0
142	болезни попугаев	2
143	видео про попугаев	0
144	продажа попугаев	2
145	ИМЯ	0
146	возраст попугая	1
147	сколько живут попугаи в домашних условиях	0
148	попугай корелла фото	0
149	попугай корелла купить	0
150	умерший попугай	2
151	почему волнистый попугай	0
152	умирающий попугай	2
153	пение попугая слушать	1
154	попугай  букв	2
155	сонник попугай	2
156	желтый попугай	2
157	маленькие попугаи	2
158	цвета попугая	1
159	купить попугая жако	1
160	продам попугая	1
161	название попугаев	2
162	лечение попугаев	2
163	клюв волнистого попугая	1
164	попугай сидит	2
165	говорящий волнистый попугай	0
166	волнистый попугай говорит	0
167	официальный сайт попугаи	2
168	можно ли давать попугаю	0
169	ИМЯ	0
170	волнистый попугай самец	0
171	зоомагазин попугай	2
172	крупный попугай	2
173	попугай раскраска	2
174	попугаи слушать онлайн	0
175	средние попугаи	2
176	смотреть попугай кеша	0
177	сколько живут волнистые попугаи в домашних	0
178	сколько лет попугаю	0
179	хвост попугая	1
180	попугай григорий	2
181	попугай онлайн бесплатно	0
182	волнистый попугай разговаривает	0
183	голубой попугай	2
184	магазин попугаев	2
185	попугай ара купить	0
186	купить попугая ару	1
187	попугай спб	2
188	глаз попугая	1
189	попугаи видео смотреть	0
190	ИМЯ	0
191	говорящий попугай как научить говорить	0
192	попугай  буквы	2
193	ИМЯ	0
194	купля попугаев	2
195	сколько живет волнистый попугай в домашних условиях	0
196	где купить попугая	1
197	попугаи живут лет	0
198	волнистый попугай девочка	0
199	спящий попугай	2
200	ИМЯ	0
201	ИМЯ	0
202	попугай кеша мультфильм все серии	0
203	танцующий попугай	2
204	попугай танцует	2
205	волнистые попугаи как определить	0
206	чириканье попугаев	2
