	data	cluster
0	попугай	0
1	волнистый попугай	9
2	купить попугая	1
3	попугай корелла	8
4	попугай кеша	4
5	попугать	0
6	попугай попугал	0
7	попугай фото	5
8	попугаи видео	6
9	сколько попугаев	7
10	говорящий попугай	3
11	говорящий попугай говорит	3
12	попугай говорит	3
13	попугаи неразлучники	0
14	 попугаев	0
15	про попугаев	0
16	попугая ару	2
17	попугай ара	0
18	попугай жако	3
19	попугай цена	3
20	попугай мультфильм	3
21	домашние попугаи	3
22	клетка для попугая	3
23	можно ли попугаю	3
24	почему попугай	0
25	попугаи в домашних условиях	3
26	зеленый попугай	0
27	сколько живут попугаи	7
28	попугай разговаривает	0
29	попугаи данные	0
30	попугай слушать	3
31	давай попугаем	0
32	пение попугаев	0
33	попугай мультик	3
34	ожереловый попугай	0
35	кормы попугаев	0
36	клюв попугая	2
37	виды попугаев	0
38	попугай какаду	0
39	попугай мальчик	0
40	серия попугай	3
41	картинки попугаев	0
42	волнистые попугаи сколько	7
43	авито попугаи	0
44	попугай москва	3
45	домашний волнистый попугай	9
46	скачать попугая	3
47	большие попугаи	0
48	попугай девочка	0
49	рыба попугай	0
50	самка попугая	2
51	попугай бесплатно	3
52	волнистые попугаи в домашних условиях	9
53	содержание попугаев	3
54	попугай кеша мультфильм	4
55	попугай онлайн	3
56	попугай поет	0
57	где попугай	0
58	блудный попугай	0
59	белый попугай	0
60	корм для попугаев	0
61	хороший попугай	0
62	пение волнистых попугаев	9
63	яйца попугаев	0
64	волнистый попугай купить	9
65	волнистые попугаи живут	9
66	породы попугаев	0
67	возвращение попугая	2
68	 попугаев мультфильм	3
69	сколько стоит попугай	7
70	возвращение блудного попугая	2
71	ИМЯ	3
72	ИМЯ	3
73	попугай кеша все серии	4
74	попугай отзывы	0
75	сколько живут волнистые попугаи	7
76	попугай своими руками	0
77	ИМЯ	3
78	волнистый попугай слушать	9
79	попугаи самцы	0
80	розелла попугай	0
81	какие волнистые попугаи	9
82	звуки попугаев	0
83	попугай сканворд	0
84	попугаи перу	0
85	перо попугая	2
86	попугай все серии подряд	3
87	купить клетку для попугая	1
88	попугай поле	0
89	попугай самый	0
90	можно ли волнистым попугаям	9
91	пол попугая	2
92	амазон попугай	0
93	попугай 	0
94	ИМЯ	3
95	смешные попугаи	0
96	имена для попугаев	0
97	ИМЯ	3
98	про попугая кешу	3
99	попугаи дома	0
100	купить попугая в москве	1
101	квартал попугай	0
102	попугай 	0
103	птенцы попугаев	0
104	волнистый попугай фото	5
105	попугай без	0
106	попугай кеша подряд	4
107	кеша попугай все серии подряд	4
108	какого попугая можно	3
109	красный попугай	0
110	ИМЯ	3
111	игра попугай	0
112	мультик попугай кеша	4
113	день попугая	2
114	попугаи уход и содержание	3
115	мебель попугай	0
116	 попугаев 	0
117	 попугаев мультфильм 	3
118	крыло попугая	2
119	попугай 	0
120	говорящий попугай видео	6
121	попугай говорит видео	6
122	 попугай	0
123	самка волнистого попугая	3
124	 попугай	0
125	голова попугая	2
126	попугай новой	0
127	 квартал попугай	0
128	попугай майнкрафт	0
129	 попугая	2
130	ИМЯ	3
131	рыбка попугай	0
132	попугай рисунок	0
133	 попугаев мебель	0
134	попугаю 	0
135	мультик про попугая	3
136	завести попугая	2
137	волнистые попугаи видео	6
138	сколько живут домашние попугаи	7
139	попугаи неразлучники фото	5
140	волнистый попугай мальчик	9
141	ИМЯ	3
142	болезни попугаев	0
143	видео про попугаев	6
144	продажа попугаев	0
145	ИМЯ	3
146	возраст попугая	2
147	сколько живут попугаи в домашних условиях	7
148	попугай корелла фото	8
149	попугай корелла купить	8
150	умерший попугай	0
151	почему волнистый попугай	9
152	умирающий попугай	0
153	пение попугая слушать	3
154	попугай  букв	0
155	сонник попугай	0
156	желтый попугай	0
157	маленькие попугаи	0
158	цвета попугая	2
159	купить попугая жако	1
160	продам попугая	2
161	название попугаев	0
162	лечение попугаев	0
163	клюв волнистого попугая	3
164	попугай сидит	0
165	говорящий волнистый попугай	9
166	волнистый попугай говорит	9
167	официальный сайт попугаи	0
168	можно ли давать попугаю	3
169	ИМЯ	3
170	волнистый попугай самец	9
171	зоомагазин попугай	0
172	крупный попугай	0
173	попугай раскраска	0
174	попугаи слушать онлайн	3
175	средние попугаи	0
176	смотреть попугай кеша	4
177	сколько живут волнистые попугаи в домашних	7
178	сколько лет попугаю	7
179	хвост попугая	2
180	попугай григорий	0
181	попугай онлайн бесплатно	3
182	волнистый попугай разговаривает	9
183	голубой попугай	0
184	магазин попугаев	0
185	попугай ара купить	1
186	купить попугая ару	1
187	попугай спб	0
188	глаз попугая	2
189	попугаи видео смотреть	6
190	ИМЯ	3
191	говорящий попугай как научить говорить	3
192	попугай  буквы	0
193	ИМЯ	3
194	купля попугаев	0
195	сколько живет волнистый попугай в домашних условиях	7
196	где купить попугая	1
197	попугаи живут лет	3
198	волнистый попугай девочка	9
199	спящий попугай	0
200	ИМЯ	3
201	ИМЯ	3
202	попугай кеша мультфильм все серии	4
203	танцующий попугай	0
204	попугай танцует	0
205	волнистые попугаи как определить	9
206	чириканье попугаев	0
207	гостиница для попугаев	0
208	отдам попугая	2
209	попугай  букв	0
210	пол волнистого попугая	3
211	пение волнистых попугаев слушать	9
212	человек попугай	0
213	попугай чирикает	0
214	красивые попугаи	0
215	ИМЯ	3
216	смешные попугаи видео	6
217	смотреть бесплатно попугай	3
218	попугай корелла уход	8
219	класс попугаев	0
220	попугай для детей	0
221	ИМЯ	3
222	ИМЯ	3
223	виды попугаев фото	5
224	серый попугай	3
225	песнь попугая	2
226	мультфильм про попугая	3
227	любимый попугай	0
228	попугай детский	0
229	сколько лет живут попугаи	7
230	попугай и кот	0
231	попугай во сне	0
232	александрийский попугай	0
233	птенцы волнистых попугаев	9
234	попугай хочу	0
235	возьму попугая	2
236	попугай из бумаги	0
237	ИМЯ	3
238	яйца волнистых попугаев	9
239	игрушки для попугаев	0
240	попугай корелла цена	8
241	ИМЯ	3
242	купить попугая цена	1
243	помет попугая	2
244	попугай жако цена	3
245	попугай после	0
246	синий попугай	0
247	попугай корелла сколько	8
248	содержание волнистых попугаев	9
249	попугай какаду фото	5
250	приключения попугая	2
251	возвращение блудного попугая мультсериал	2
252	попугаи мира	0
253	попугая чехов	2
254	смотреть про попугаев	3
255	два попугая	2
256	попугай чех	0
257	клетка для волнистого попугая	3
258	попугаи разговаривают видео	6
259	язык попугая	2
260	 попугаев сайт	0
261	попугаи неразлучники купить	1
262	звуки волнистых попугаев	9
263	жизнь попугаев	0
264	мультфильм попугай кеша все серии подряд	4
265	попугай начал	0
266	анекдот про попугая	2
267	беременный попугай	0
268	попугай читать	0
269	попугай скачать бесплатно	3
270	 попугаев официальный сайт	0
271	попугай ару цены	3
272	недорогие попугаи	0
273	описание попугая	2
274	попугай ара цена	3
275	приколы с попугаями	0
276	болезни волнистых попугаев	9
277	разведение попугаев	0
278	голос попугая	2
279	оригами попугай	0
280	черный попугай	0
281	кричащий попугай	0
282	попугай кричит	0
283	 попугаев мебель официальный	0
284	волнистые попугаи онлайн	9
285	мультик про попугая кешу	3
286	возраст волнистого попугая	3
287	аквариумный попугай	0
288	лапы попугая	2
289	ИМЯ	3
290	попугай с хохолком	0
291	какой попугай лучше	0
292	попугай смотреть все серии	3
293	волнистый попугай слушать онлайн	9
294	содержание попугая корелла	8
295	купить попугая на авито	1
296	попугай карандашом	0
297	какарики попугаи	0
298	поющие попугаи видео	6
299	попугай часто	0
300	ИМЯ	3
301	найден попугай	0
302	купить говорящего попугая	1
303	неразлучники попугаи цена	3
304	дама с попугаем	0
305	 попугаев сайт мебель	0
306	попугай рио	0
307	много попугаев	0
308	попугай ютуб	0
309	 попугаев мебель официальный сайт	0
310	попугай лори	0
311	годы волнистых попугаев	9
312	корм для попугаев волнистых	9
313	смотреть мультфильмы попугай	3
314	попугай жако фото	5
315	 попугая	2
316	попугай питомник	0
317	домик для попугаев	0
